News Titles,Day,Date,Links
"Lok Sabha Elections

Apart from health cover for seniors, BJP manifesto offers few giveaways; focus on infrastructure, investment-led job growth
Nistula Hebbar ",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Andhra Pradesh

Candidates raise concern over duplicate votes in Tirupati Assembly constituency
A.D. Rangarajan",Sunday, 14th April 2024,https://www.thehindu.com/news/national/andhra-pradesh/
"Assam

AAP will form govt. in Assam in 2026, says Punjab CM Bhagwant Mann
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/assam/
"Telangana

BJP in Telangana to hold protest to highlight farmers’ woes
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Visakhapatnam

Digital platform, Pradhaan, launched in Visakhapatnam to create awareness on importance of voting
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Visakhapatnam/
"Lok Sabha Elections

BJP’s Anil Baluni is banking on religion and development to win in Garhwal (Pauri), Uttarakhand’s largest constituency
Ishita Mishra",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Telangana

Jagadgirigutta shop owner arrested with 26 kg ganja chocolates  
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Andhra Pradesh

DGP asks police officials to step up security for Andhra Pradesh Chief Minister Y.S. Jagan Mohan Reddy
Rajulapudi Srinivas",Sunday, 14th April 2024,https://www.thehindu.com/news/national/andhra-pradesh/
"Telangana

Former MLA Muthireddy booked in connection with a land dispute
 P. Laxma Reddy",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"Visakhapatnam

Ambedkar Jayanti celebrated in city
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Visakhapatnam/
"Tiruchirapalli

Tiruchi Railway Division takes steps to ensure supply of drinking water at stations and on board trains
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Tiruchirapalli/
"TALKING POLITICS WITH NISTULA HEBBAR
Watch | J&K polls 2024 | What is in store after article 370 abrogation?
Nistula Hebbar ",Sunday, 14th April 2024,
"Visakhapatnam

Yelineni Raghava Rao felicitated, book on his life ‘Jeevana Tarangini’ launched
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Visakhapatnam/
"Visakhapatnam

Visakhapatnam Steel Plant observes National Fire Service Day
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Visakhapatnam/
"World

At least 14 dead, two missing as landslides hit Indonesia’s Sulawesi island
 AFP",Sunday, 14th April 2024,https://www.thehindu.com/news/international/
"Telangana

Telangana government initiates corrective measures to put State economy back on track
M. Rajeev",Sunday, 14th April 2024,https://www.thehindu.com/news/national/telangana/
"India

Iran-Israel tension | Air India suspends Tel Aviv flights
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/national/
"Andhra Pradesh

Empowerment eludes downtrodden sections even after 75 years of Independence, alleges Samithi
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/andhra-pradesh/
"Hyderabad

Contaminated water threat flagged at Hyderabad zoo
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Hyderabad/
"Coimbatore

Lok Sabha Polls | Vote for the future of the nation: Coimbatore Additional Collector
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Coimbatore/
"Coimbatore

Third gaur poached for meat in recent months in the Nilgiris
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Coimbatore/
"Movies

Raghava Lawrence announces 25th film ‘Hunter’ alongside Lokesh Kanagaraj-produced ‘Benz’
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/entertainment/movies/
"Sport

Arjun Kadhe and Jeevan Nedunchezhiyan clinch Challenger in Mexico
Sports Bureau",Sunday, 14th April 2024,https://www.thehindu.com/sport/
"Lok Sabha Elections

Modi destroying democracy, no difference between him and Putin: Sharad Pawar
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Delhi

AAP leader Sanjay Singh meets Kharge, pitches for common minimum programme for INDIA bloc
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Delhi/
"Lok Sabha Elections

PM Modi is cut off from people, their issues: Priyanka Gandhi
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"
premium
Analysis | Three takeaways from Iran’s attack on Israel
Stanly Johny",Sunday, 14th April 2024,/premium/
"Cartoon

On the Draw — April 14, 2024
Mika Aziz",Sunday, 14th April 2024,https://www.thehindu.com/opinion/cartoon/
"Coimbatore

Khamma Naidu Mahajan Sangamam extends support to AIADMK in Coimbatore
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/cities/Coimbatore/
"World

Second batch of Indian military personnel leaves Maldives: President Muizzu
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/international/
"World

Iran attack on Israel | Iran says retaliation 'concluded', warns Israel not to respond; world urges restraint
 AFP",Sunday, 14th April 2024,https://www.thehindu.com/news/international/
"Cricket

IPL-17: KKR vs LSG | Salt, Narine shine as Kolkata Knight Riders thrash Lucknow Super Giants
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/sport/cricket/
"Lok Sabha Elections

Need a strong government, PM Modi says at BJP manifesto launch
Nistula Hebbar ",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"India

Indian mission in Israel issues fresh advisory, no country evacuating its nationals so far following Iran salvo
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/national/
"Lok Sabha Elections

I am a true Ram Bhakt and have never spoken against Lord Ram, says Jitan Ram Manjhi 
Amit Bhelari",Sunday, 14th April 2024,https://www.thehindu.com/elections/lok-sabha/
"Tamil Nadu

18 persons injured after government bus overturns near Vandavasi
 The Hindu Bureau",Sunday, 14th April 2024,https://www.thehindu.com/news/national/tamil-nadu/
"Cricket

Twenty20 World Cup | I want to be at my best through IPL experience, says Travis Head
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/sport/cricket/
"Cricket

IPL-17: RCB vs SRH | Focus on bowlers as Royal Challengers Bengaluru aim for elusive victory against Sunrisers Hyderabad
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/sport/cricket/
"Lok Sabha elections 2024
Congress always insulted Dr. Babasaheb Ambedkar, we have honoured him: PM Modi
 PTI",Sunday, 14th April 2024,
"Jammu and Kashmir

Annual Amarnath Yatra to begin from June 29
 PTI",Sunday, 14th April 2024,https://www.thehindu.com/news/national/jammu-and-kashmir/
